AA 	1 	1224 	0.500000 	Inf
KK 	7 	1218 	0.226177 	953.995465
AKs 	75 	1150 	0.457697 	554.509992
QQ 	13 	1212 	0.207007 	478.008197
AKo 	79 	1146 	0.433132 	331.887184
JJ 	19 	1206 	0.201104 	319.213589
AQs 	84 	1141 	0.424149 	274.211191
TT 	25 	1200 	0.198947 	239.821017
AQo 	93 	1132 	0.403144 	192.670217
99 	31 	1194 	0.197142 	191.413933
AJs 	96 	1129 	0.401528 	183.221336
88 	41 	1184 	0.226651 	159.296894
ATs 	108 	1117 	0.385544 	138.913083
AJo 	105 	1120 	0.379834 	136.310470
77 	61 	1164 	0.285621 	134.847705
66 	103 	1122 	0.355264 	115.348532
ATo 	117 	1108 	0.362908 	106.264712
A9s 	123 	1102 	0.367405 	104.124788
55 	153 	1072 	0.389493 	98.629873
A8s 	135 	1090 	0.361211 	89.865649
KQs 	256 	969 	0.429500 	86.627695
44 	275 	950 	0.431528 	81.979590
A9o 	129 	1096 	0.339884 	81.716196
A7s 	147 	1078 	0.356565 	79.175905
KJs 	265 	960 	0.419399 	72.621257
A5s 	171 	1054 	0.367031 	72.292128
A8o 	141 	1084 	0.332789 	70.956513
A6s 	159 	1066 	0.352858 	70.744533
A4s 	183 	1042 	0.366358 	66.650529
33 	455 	770 	0.454268 	65.440821
KTs 	277 	948 	0.411707 	62.805558
A7o 	155 	1070 	0.329722 	62.747746
A3s 	195 	1030 	0.366882 	62.275315
KQo 	265 	960 	0.400723 	58.771664
A2s 	207 	1018 	0.366815 	58.141993
A5o 	181 	1044 	0.340952 	56.542087
A6o 	171 	1054 	0.329477 	56.151230
A4o 	202 	1023 	0.347061 	51.939490
KJo 	277 	948 	0.391325 	50.838788
QJs 	418 	807 	0.432774 	49.515440
A3o 	220 	1005 	0.351305 	48.445438
22 	709 	516 	0.467553 	48.054119
K9s 	295 	930 	0.392879 	47.812358
A2o 	240 	985 	0.355839 	45.172344
KTo 	289 	936 	0.383383 	44.946538
QTs 	430 	795 	0.426952 	43.809464
K8s 	307 	918 	0.378141 	39.910810
K7s 	325 	900 	0.378587 	37.330652
